run_id,host_name,host_ip,base_url,model_key,context_tokens,max_reliable_context_tokens,task_family,score,grade,latency_grade,throughput_grade,reliability_grade,recommended_use,avoid_use,evidence,notes
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,ibm/granite-4-h-tiny,,,safety,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=safety; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,liquid/lfm2.5-1.2b,,,operational_health,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=operational_health; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,liquid/lfm2.5-1.2b,,,structured_output,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=structured_output; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,liquid/lfm2.5-1.2b,,,coding,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=coding; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,liquid/lfm2.5-1.2b,,,debugging,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=debugging; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,liquid/lfm2.5-1.2b,,,agent_planning,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=agent_planning; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,liquid/lfm2.5-1.2b,,,long_context,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=long_context; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,liquid/lfm2.5-1.2b,,,repo_work,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=repo_work; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,liquid/lfm2.5-1.2b,,,safety,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=safety; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,google/gemma-3-1b,,,operational_health,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=operational_health; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,google/gemma-3-1b,,,structured_output,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=structured_output; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,google/gemma-3-1b,,,coding,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=coding; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,google/gemma-3-1b,,,debugging,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=debugging; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,google/gemma-3-1b,,,agent_planning,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=agent_planning; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,google/gemma-3-1b,,,long_context,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=long_context; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,google/gemma-3-1b,,,repo_work,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=repo_work; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,google/gemma-3-1b,,,safety,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=safety; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,text-embedding-nomic-embed-text-v1.5,,,operational_health,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=operational_health; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,text-embedding-nomic-embed-text-v1.5,,,structured_output,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=structured_output; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,text-embedding-nomic-embed-text-v1.5,,,coding,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=coding; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,text-embedding-nomic-embed-text-v1.5,,,debugging,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=debugging; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,text-embedding-nomic-embed-text-v1.5,,,agent_planning,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=agent_planning; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,text-embedding-nomic-embed-text-v1.5,,,long_context,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=long_context; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,text-embedding-nomic-embed-text-v1.5,,,repo_work,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=repo_work; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784125118,scott-optiplex-9030-aio,192.168.1.241,http://scott-optiplex-9030-aio.tailcb8954.ts.net:1234/v1,text-embedding-nomic-embed-text-v1.5,,,safety,0.0000,F,unknown,unknown,F,avoid for this task family,endpoint/model did not complete benchmark cases,task=safety; ok_rate=0.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
